Site,Sample,Replicate,FunctionalGroup_zoo,FunctionalCountSum_mL
RBH,Control,2,Ruptured cell,236
RBH,Control,3,Ruptured cell,220
RBH,Control,4,Ruptured cell,104
RBH,Grab,1,Centric diatom,84
RBH,Grab,2,Centric diatom,32
RBH,Grab,3,Centric diatom,100
RBH,Grab,4,Centric diatom,28
RBH,Grab,1,Dinoflagellate,180
RBH,Grab,2,Dinoflagellate,112
RBH,Grab,3,Dinoflagellate,88
RBH,Grab,4,Dinoflagellate,116
RBH,Grab,1,Heterotrophic zooplankton,4
RBH,Grab,2,Heterotrophic zooplankton,16
RBH,Grab,3,Heterotrophic zooplankton,8
RBH,Grab,4,Heterotrophic zooplankton,8
RBH,Grab,1,Pennate diatom,100
RBH,Grab,2,Pennate diatom,76
RBH,Grab,3,Pennate diatom,76
RBH,Grab,4,Pennate diatom,104
RBH,Grab,1,Ruptured cell,48
RBH,Grab,2,Ruptured cell,100
RBH,Grab,3,Ruptured cell,88
RBH,Grab,4,Ruptured cell,36
RBH,Mussel,1,Centric diatom,0
RBH,Mussel,2,Centric diatom,20
RBH,Mussel,3,Centric diatom,20
RBH,Mussel,4,Centric diatom,0
RBH,Mussel,1,Dinoflagellate,0
RBH,Mussel,2,Dinoflagellate,16
RBH,Mussel,3,Dinoflagellate,40
RBH,Mussel,4,Dinoflagellate,12
RBH,Mussel,1,Heterotrophic zooplankton,0
RBH,Mussel,2,Heterotrophic zooplankton,0
RBH,Mussel,3,Heterotrophic zooplankton,0
RBH,Mussel,4,Heterotrophic zooplankton,0
RBH,Mussel,1,Pennate diatom,36
RBH,Mussel,2,Pennate diatom,16
RBH,Mussel,3,Pennate diatom,36
RBH,Mussel,4,Pennate diatom,8
RBH,Mussel,1,Ruptured cell,92
RBH,Mussel,2,Ruptured cell,124
RBH,Mussel,3,Ruptured cell,132
RBH,Mussel,4,Ruptured cell,84
