Site,SampleType,Plot,SampleInterval,GFF_ID,Vol_mL,Vial_ID,RunSet,Abs_750_NoAcid,Abs_665_NoAcid,Abs_corr_NoAcid,Conc_ChlA_NoAcid,Abs_750_Acid,Abs_665_Acid,Abs_corr_Acid,Conc_CHLA_Acid,EstimatedChlA_ug_L,Notes
RBH Park,Control,2,T1,258,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,3,T1,221,230,2,2,0.001,0.049,0.048,0.048,-0.004,0.034,0.038,0.037,4.797601199,
RBH Park,Control,3,T1,223,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,4,T1,154,200,4,1,0.003,0.031,0.027,0.027,0.003,0.022,0.019,0.019,3.103448276,
RBH Park,Control,4,T1,175,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,5,T1,210,250,15,1,-0.004,0.034,0.038,0.038,0.004,0.031,0.027,0.027,3.494252874,
RBH Park,Control,5,T1,239,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,1,T2,147,150,16,2,0.003,0.044,0.041,0.041,0.003,0.031,0.028,0.028,6.283524904,
Cabretta,Control,1,T2,148,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,3,T2,151,150,21,2,0.003,0.044,0.041,0.041,0.004,0.032,0.028,0.028,6.283524904,
Cabretta,Control,3,T2,152,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,4,T2,87,200,7,1,0.05,0.098,0.048,0.048,0.004,0.043,0.039,0.037,5.517241379,
Cabretta,Control,4,T2,88,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,5,T2,162,150,17,2,0.002,0.046,0.044,0.044,0.003,0.034,0.031,0.031,6.743295019,
Cabretta,Control,5,T2,163,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,1,T2,58,300,10,2,0.002,0.052,0.05,0.05,0.008,0.045,0.037,0.038,3.831417625,
Dean Creek,Control,1,T2,59,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,2,T2,60,300,11,2,0.002,0.05,0.048,0.048,0.006,0.043,0.036,0.037,3.67816092,
Dean Creek,Control,2,T2,61,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,3,T2,52,300,7,2,0.003,0.057,0.054,0.054,0.007,0.048,0.041,0.041,4.137931034,
Dean Creek,Control,4,T2,54,200,8,2,0.002,0.036,0.034,0.034,0.006,0.032,0.026,0.026,3.908045977,
